//id annuaire;nom;prenom;tel bureau;tel mobile;adresse mail;code uo
300000;nomToto;prenomToto;0102030405;0605040302;toto@titi.com;10000Z01
300067;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300068;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300069;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300070;Carré;Racine;0100000001;0600000002;math@matique.com;20000Z01
300071;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
300072;Ballot;René;0100000002;0600000004;adress1@mail.com;20000Z01
300073;Ballot;Kevin;0100000002;0600000004;adress2@mail.com;20000Z01
300074;Ballot;Jason;0100000002;0600000004;adress@mail.com;20000Z01
300075;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
300076;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
300077;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
300078;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
300079;Ballot;Gerard;0100000002;0600000004;adress@mail.com;20000Z01
900071;Java;JeanDev;0100000008;0700000009;java@sexy.fr;20000Z01
